source,manufacturer,model_name,year,boat_type,length_loa,beam,draft,dry_weight,hull_material,max_hp,engine_make_type,number_of_engines,fuel_type,fuel_capacity,passenger_capacity,price,dealer_name,dealer_location,source_listing_url,description
boatdealers.ca,LUND,2075 PRO V BASS XS,2026,,21,,,1850 lbs,,,,,,,,"$101,449.00 CAD",Pirate Cove Marina,"Kemptville, Ontario",https://www.boatdealers.ca/boats-for-sale/665870/lund-2075-pro-v-bass-xs-kemptville-ontario,2026 LUND 2075 PRO V BASS XS
boatdealers.ca,Bavaria,S36 HT,2018,Cruisers,38'3,11'9,3,15322 lbs,,220.0,Volvo D3-220,,Diesel,,,"$415,000.00 CAD",Ita Yachts Canada,"Gatineau, Quebec",https://www.boatdealers.ca/boats-for-sale/592617/bavaria-s36-ht-gatineau-quebec,"Boat in very good condition, second owner. Only 330 hours. Volvo Penta Diesel D3-220 engines."
boatdealers.ca,Cobalt,360 Performance Cruiser,2002,Cruisers,36,,,15000 lbs,,850.0,Twin Mercruiser 496HP,2,Gas,,,"$109,250.00 CAD",Luxury Yacht Sales,"Rockland, Ontario",https://www.boatdealers.ca/boats-for-sale/666957/cobalt-360-performance-cruiser-rockland-ontario,"(Version française disponible ci-dessous | French version available below) 2002 COBALT 36 HIGH-PERFORMANCE AND WELL-DESIGNED BOAT Fresh water only. Hauled out of the water. Stored indoors. Unique. Description 2002 Cobalt 360 Performance Cruiser Twin Mercruiser 496 HP engines (425 HP each, approximately 1050 hours) The Cobalt 360 is a high-performance cruiser that combines classic Cobalt styling with excellent coastal capabilities. Powered by twin Mercruiser 496HO engines (425 HP each), this boat delivers outstanding performance and a smooth ride. Its hull is designed for offshore use, and with air conditioning, it’s ready for long days at sea or multi-day cruises. Recent maintenance with supporting invoices New BRAVO III Stern Drive (2025) 2 new water pumps New starters (2025) 4 new batteries (2025) Seat cushions (2021) Cockpit seats convert into a sunbed Stainless steel windshield frame and bow railing Rapid cover, bimini top, and camper top Ample interior storage Electric windlass with chrome Deltra anchor, chain, and cable Ice maker in the cockpit 30A power cable Electronics (2021): Garmin GPS, VHF radio, depth sounder Upgraded Fusion Bluetooth stereo system with Rockford Fosgate speakers and subwoofer Reinforced trailer (double chassis) available High-quality performance yacht, meticulously maintained by its owner and always stored out of the water on its lift or trailer. 2024 Marine Inspection: Successful report: boat in excellent condition. Market Price: US$87,940.00 (approximately CA$120,000) OPTIONAL: 2022 Mayhem triple-axle trailer with reinforced (double) chassis (9,525 kg capacity): Value +$20,000. Asking Price: CA$17,250 OPTIONAL: Bertrand Dock hydraulic lift (13,600 kg capacity): Value $85,000, Asking Price $34,500 Contact us for a private tour. Financing available. Disclaimer: All specifications, descriptions, and information have been provided by the vessel’s owner and are presented in good faith. While believed to be accurate, they are not warranted. Interested parties are advised to verify all details to their satisfaction prior to purchase. The vessel is offered subject to prior sale or change without notice. ________________________________________________________________ 2002 COBALT 36 BATEAU DE PEFORMANT ET BIEN DESIGNÉ Eau douce seulement. Tenue hors de l’eau. Entreposé à l’intérieur. Unique. Description Cobalt 360 Performance Cruiser de 2002 Deux moteurs Mercruiser 496 CV (425 CV chacun, environ 1050 heures) Le Cobalt 360 est un croiseur haute performance qui allie le style classique de Cobalt à d’excellentes capacités côtières. Propulsé par deux moteurs Mercruiser 496HO (425 CV chacun), ce bateau offre des performances remarquables et une navigation tout en douceur. Sa coque est conçue pour la haute mer et, grâce à la climatisation, il est prêt pour de longues journées en mer ou des croisières de plusieurs jours. Entretien récent avec factures à l’appui Nouveau pied BRAVO III (2025) 2 pompes à eau neuves Démarreurs neufs (2025) 4 batteries neuves (2025) Coussins de sièges (2021) Les sièges du cockpit se transforment en lit bain de soleil Cadre de pare-brise et railing avant en acier inoxydable Bâche rapide (Rapid cover), toit bimini et toit campeur Nombreux rangements intérieurs Guindeau électrique avec ancre Deltra chromée avec chaîne et câble Machine à glaçons dans le cockpit Câble d’alimentation 30 A Électronique (2021) : GPS Garmin, VHF, sondeur Système stéréo Bluetooth Fusion amélioré avec haut-parleurs et caisson de basses Rockford Fosgate Remorque renforcée (double châssis) disponible Yacht de performance de qualité très bien entretenue par son propriétaire, toujours entreposé hors de l’eau sur son élévateur ou sa remorque. Inspection maritime de 2024 : Expertise concluante : bateau en parfait état. Prix du marché : 87 940,00 $ US (environ 120 000 $ CA) EN OPTION : Remorque Mayhem 2022 à triple essieu et châssis renforcé (doublé) (capacité de 9 525 kg) : Valeur +20 000 $. Prix demandé : 17,250$ EN OPTION : Élévateur hydraulique Quai Bertrand (capacité de 13 600 kg) : Valeur 85 000 $, Prix demandé 34,500$ Contactez-nous pour une visite privée. Financement disponible. Contactez-nous pour une visite privée. Financement disponible. Avis de non-responsabilité : Toutes les spécifications, descriptions et informations ont été fournies par le propriétaire du bateau et sont présentées de bonne foi. Bien qu’elles soient considérées comme exactes, elles ne sont pas garanties. Les parties intéressées sont invitées à vérifier tous les détails à leur satisfaction avant l’achat. Le bateau est offert sous réserve de vente préalable ou de modification sans préavis. Contactez-nous pour une visite privée. Financement disponible. Avis de non-responsabilité : Toutes les spécifications, descriptions et informations ont été fournies par le propriétaire du bateau et sont présentées de bonne foi. Bien qu’elles soient considérées comme exactes, elles ne sont pas garanties. Les parties intéressées sont invitées à vérifier tous les détails à leur satisfaction avant l’achat. Le bateau est offert sous réserve de vente préalable ou de modification sans préavis. Avis de non-responsabilité : Toutes les spécifications, descriptions et informations ont été fournies par le propriétaire du bateau et sont présentées de bonne foi. Bien qu’elles soient considérées comme exactes, elles ne sont pas garanties. Les parties intéressées sont invitées à vérifier tous les détails à leur satisfaction avant l’achat. Le bateau est offert sous réserve de vente préalable ou de modification sans préavis."
boatdealers.ca,Bayliner,VR 5 OB,2023,Bowrider,20'7,8,2'8,3342 lbs,,150.0,MERCURY 150 HP EFI 4 STROKE,,Gas,,,"$44,900.00 CAD",10890090 Canada Inc.,"Ottawa, Ontario",https://www.boatdealers.ca/boats-for-sale/667011/bayliner-vr-5-ob-ottawa-ontario,"The VR5 OB builds on Bayliner's V-bottom bowrider family while adding form and function. Forward, the boat employs our signature BeamForward design which carries the full eight feet of beam farther toward the front of the boat. The self-bailing cockpit features our AftAdvantage design that increases the aft seating area by extending it to the aft-most point of the running surface then adding the swim platform beyond that. This keeps the platform apart from the usable interior space rather than encroaching on it, even with an outboard engine mounted. The result is a boat that maximizes space and value without compromising any of the fun. Factory Installed Options: • 150 HP EFI 4 STROKE, MERCURY OUTBOARD • BLUE HULL SIDES W/ WHITE BOTTOM • AUTOMATIC BILGE PUMP • BOOT STRIPE • BOW WELL AND COCKPIT COVER 1 • Bimini, 6' Top w/Boot • Engine Water Separator/fuel Filter (sgl) • HELM BUCKET - STANDARD • Lowrance Elite 3x Fishfinder • Sport Windshield w/Opening Center Panel • Stainless Steel Upgrade Package • Swim Platform Mat (Teak) 49 • Vessel View Mobile • Vr Series Coastline Interior (tan) • Painted T/ A Trailer W/ Brakes"
boatdealers.ca,Glastron,Gt185 Manotick Ontario,,,,,,,,,,,,,,,,,https://www.boatdealers.ca/boats-for-sale/670853/glastron-gt185-manotick-ontario,
boatdealers.ca,remeq,PSC-5440-TBG PONTOON 18-22',2025,Pontoon,25'6,,,,,,,,,,,"$6,599.00 CAD",Rockland Marine & Equipment,"Rockland, Ontario",https://www.boatdealers.ca/boats-for-sale/668192/remeq-psc-5440-tbg-pontoon-18-22-rockland-ontario,"2025 remeq PSC-5440-TBG PONTOON 18-22' 799$ FOR TRITOON KIT Specifications: Boat lenght: 18' - 22' Trailer length: 25' 6'' Trailer ' Type of boarding: Pontoon Suspension: 5,440 lbs leafs spring Trailer weight: 1,000 lbs Effective load: 4,440 lbs Electric connecter: Flat 4 pins Jack: 1,200 lbs Break: Hydraulic drums Fenders: Plastic grey 12'' Coating: Galvanized"
boatdealers.ca,Starcraft,SVX171,2023,Deck Boat,17'4,8'6,,2126 lbs,,115.0,SUZUKI,,Gas,19 - 21 Gal,10,"$42,000.00 CAD",Long Island Marina,"Kars, Ontario",https://www.boatdealers.ca/boats-for-sale/668011/starcraft-svx171-kars-ontario,"Length Overall (LOA): 17 ft 4 in (5.3 m) Beam: 102 in (2.6 m) Dry Weight: 2,126 lbs (964 kg) Max Horsepower: 115 HP Passenger Capacity: 10 Persons / 1,400 lbs Fuel Capacity: 19 - 21 Gallons Deadrise: 14° Interior Depth: 31 inches Construction: Modified Dihedral V-Hull for stability. Seating/Layout: Spacious open layout with bow and stern seating. Flooring: EVA Soft Touch Traction Mat on bow and stern decks. Steering: Tilt steering (often hydraulic upgrade). Audio: JL Audio MM50 Bluetooth Stereo. Watersports: Optional or included ski pylon. Canvas: Four-bow bimini top for sun protection. Bow filler cushions Trailer Included Livewell"
boatdealers.ca,Doral,CITATION 265,1984,Bowrider,,,,,,,,,,,,"$5,242.00 CAD",Pride Marine Group Ottawa,"Ottawa, Ontario",https://www.boatdealers.ca/boats-for-sale/669457/doral-citation-265-ottawa-ontario,
boatdealers.ca,caravelle,176,2006,Bowrider,17'6,8,,2300 lbs,Fiberglass,135.0,Mercrusier,,,,6,"$12,995.00 CAD",Laurentian Marine Sales,"Ottawa, Ontario",https://www.boatdealers.ca/boats-for-sale/667948/caravelle-176-ottawa-ontario,"FOR SALE: 2006 Caravelle 17ft Bowrider – 3.0L MerCruiser Engine with Galvanized trailer Looking for a fun, affordable, and reliable boat to enjoy the water this summer? Check out this 17-foot 2006 Caravelle Bowrider – compact enough to tow easily, but big enough for all your lake-day adventures! Key Features: 1 Owner 3.0L MerCruiser engine – 17 ft fiberglass hull – Great size for easy handling and storage Spacious seating for up to 6 passengers Open bow layout for comfort and versatility Swim platform & ladder for easy in-and-out of the water Ample storage for gear, coolers, and life vests Condition: Clean inside and out Engine runs strong and reliable Perfect for tubing, cruising, or just relaxing on the water Trailer included Clean title in hand This boat is perfect for first-time buyers or anyone looking to enjoy the lake without spending a fortune."
boatdealers.ca,Carver,3608 Aft Cabin MY,1991,Motor Yachts,36,13'10,3'3,"18,200 lbs",Fiberglass,600.0,Cummins,2,Diesel,240 Gal,,"$115,000.00 CAD",Yacht Network By United City Yachts - ON,"Gatineau, Quebec",https://www.boatdealers.ca/boats-for-sale/669270/carver-3608-aft-cabin-my-gatineau-quebec,"PLEASE CONTACT Zachary Pfefferle - Ottawa Montreal- 1-833-829-2248 EXTENSION 2012 Carver Yachts holds a legendary reputation in the boating industry for engineering exceptionally spacious, practical, and highly comfortable cruising vessels. For decades, Carver has mastered the art of maximizing interior volume, making their motor yachts feel much larger than their official length suggests. Built with traditional American quality and solid structural fiberglass, a Carver yacht represents the ultimate balance of reliable sea-kindliness and the modern conveniences of an on-the-water home. The 1991 Carver 36 Aft Cabin (3608) is a premier example of a beamy tri-cabin cruiser configured with a modified-vee hull, engineered to deliver a soft and comfortable ride. This popular layout features a remarkably open and spacious salon, a step-down galley, a dedicated kitchenette, and two private staterooms positioned at opposite ends of the vessel for maximum privacy. Driven by upgraded, highly desirable twin Cummins diesel engines rather than standard gasoline blocks, this configuration significantly extends cruising range to more than 900 km on a single fueling. Notably, the design emphasizes an optimized dual-helm configuration with a fully enclosed flybridge, convenient stairs access, and an expansive layout that feels incredibly large on the water. EFFICIENT DIESEL POWER - 900+ KM RANGE - TWIN CUMMINS ENGINES (2316 HOURS) - SOLAR EQUIPPED - DINGHY DAVIT LIFT SYSTEM - TWO NEW SOUND SYSTEMS - FLYBRIDGE W/ FULL ENCLOSURE - TWO PRIVATE STATEROOMS - TWO FULL HEADS - DUAL HELMS - 8KW KOHLER/YANMAR GENERATOR - 3 HEAT & AC PUMPS +++ This specific 1991 Carver 3608 Aft Cabin is a proven adventure vessel ready for its next owner, having successfully navigated the Ottawa/Montreal/Lake Champlain mini-loop, Georgian Bay, and the waters of Tadoussac. Perfect for extended live-aboard trips, the current owners have comfortably spent 6 to 8 weeks on board at a time. It is heavily upgraded for self-sufficient anchoring, featuring 7 solar panels with an MPPT charger, a robust battery system, and a custom-designed multi-height dinghy davit system capable of handling open crossings like Lake Ontario. Beautifully maintained with recent upgrades including new curtains (2024), an anchor washdown pump (2024), and a brand-new master stateroom AC heat pump (2025), this turn-key, fuel-efficient cruiser is ready to explore. Dimensions LOA: 36 feet Beam: 13 feet 10 inches Minimum Draft: 3 feet 3 inches Bridge Clearance: 15 feet Mast Height Clearance: NA Headroom: 6 feet 5 inches Deadrise: Modified-vee Dry Weight: 18,200 lbs Tankage (GALLONS) Fuel: 240 Gallons Fresh Water: 80 Gallons Holding: 60 Gallons Engine(s) Make: Cummins Model: Diesel Engine Type: Inboard Drive: Direct Drive Fuel: Diesel Hours: 2,316 hours HP:300HP per engine Generator Make: Yanmar KW: 8 Hours:NA Accommodations Cabins: 2 (Aft Cabin & Forward V-Berth) Berths:2 Head(s): 2 (Aft Master Head & Forward Guest Head) Electronics/Mechanical Twin Cummins Diesel Propulsion Upgrade (2,316 Hours) Onan Auxiliary Generator System Dual-Zone Reverse Cycle Marine Heat & Air Conditioning Heavy Duty Shore Power Connections with Battery Charger System Upper Flybridge Helm Station with Comprehensive Engine Gauges Hydraulic Trim Tabs Automatic Electric Bilge Pumps with Float Switches Engine Room Ventilation Blowers Standard Navigation Lighting Panel Marine VHF Radio Pressurized Hot and Cold Running Water System Exterior Equipment Premium Integrated Dinghy Lift System Full Upper Flybridge Canvas Enclosure Generous Aft Deck Social Lounge Platform Direct Stairs Access from Swim Platform to Aft Deck and Bridge Integrated Swim Platform with Stainless Steel Boarding Ladder Stainless Steel Bow Railing and Safety Handrails Bow Pulpit with Integrated Anchor Roller Assembly Solid Hand-Laid Fiberglass Hull Construction Self-Draining Deck and Cockpit Scupper System Deck Ventilation Hatches Fuel, Water, and Waste Deck Filler Plates Interior Equipment Full Surround Sound Entertainment System Full Step-Down Galley Arrangement Dual-Voltage Marine Refrigerator and Freezer Private Transom Window Layout in Aft Master Stateroom Multi-Burner Electric Stove and Oven Deep Galley Sink with Hot/Cold Faucet Large Convertible Dinette Booth with Table Open-Concept Main Salon with Large Panoramic Windows and Blinds Private Enclosed Head Compartments with Marine Toilets and Vanities Dedicated Standing Shower Stall in Aft Head Multiple AC Outlets Throughout Cabins Onboard Marine Water Heater Disclaimer: The Company offers the details of this vessel in good faith but cannot guarantee or warrant the accuracy of this information nor warrant the condition of the vessel. A buyer should instruct their agents, or their surveyors, to investigate such details as the buyer desires validated. This vessel is offered subject to prior sale, price change, or withdrawal without notice. PLEASE CONTACT Zachary Pfefferle - Ottawa Montreal- 1-833-829-2248 EXTENSION 2012"
